Task_Type,Workload_Level,Execution_Time,Resource_Type,Priority_Status,Energy_Consumption,Carbon_Emission,Emission_Category,Region,Time_Slot,Decision
Shipment Tracking,Low,14,Container_Micro,Critical,0.11,0.03,Very Low,eu-central,Weekend,Green Region Immediate
Supplier Management,Low,19,Container_Micro,High,0.15,0.11,Very Low,ap-south,Night,Green Region Immediate
Demand Forecasting,Medium,54,VM_Medium,Low,1.25,0.52,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Payment Settlement,High,94,VM_Large,Low,2.58,0.65,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Demand Forecasting,High,97,Container_Large,Low,1.15,0.1,Very Low,Green_Region,Night,Execute Immediately
Supplier Management,High,68,VM_Large,High,1.65,0.71,Medium,ap-east,Night,Schedule Night (Low Load)
Inventory Update,Low,15,VM_Small,High,0.44,0.2,Low,ap-east,Peak,Green Region Immediate
Fleet Dispatch,Medium,41,Container_Small,High,0.42,0.2,Low,us-east,Off-Peak,Green Region Immediate
Fleet Dispatch,Medium,59,VM_Medium,Critical,1.31,0.38,Low,us-west,Off-Peak,Green Region Immediate
Payment Settlement,Medium,44,Container_Small,High,0.61,0.26,Low,ap-east,Peak,Green Region Immediate
Order Processing,Low,16,VM_Small,Low,0.31,0.15,Low,us-east,Night,Green Region Immediate
Fleet Dispatch,Low,19,Container_Micro,Low,0.22,0.01,Very Low,Green_Region,Peak,Execute Immediately
Order Processing,High,115,VM_Large,High,2.7,1.25,High,us-east,Night,Shift to Green Region + Night
Supplier Management,Low,30,VM_Small,Low,0.71,0.32,Low,ap-east,Peak,Green Region Immediate
Quality Control,Critical,153,Bare_Metal,Low,7.1,3.34,Very High,ap-east,Peak,Green Region Immediate
Fleet Dispatch,Critical,267,VM_XLarge,High,5.29,1.36,High,eu-central,Weekend,Shift to Green Region + Night
Order Processing,Critical,246,Bare_Metal,Medium,7.43,4.99,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,High,76,Container_Large,Low,0.97,0.07,Very Low,Green_Region,Weekend,Execute Immediately
Quality Control,High,108,Container_Large,Low,1.28,0.91,High,ap-south,Weekend,Shift to Green Region + Night
Shipment Tracking,Critical,230,Bare_Metal,Medium,9.14,3.84,Very High,ap-east,Peak,Shift to Green Region + Night
Returns Processing,Low,19,VM_Small,Critical,0.4,0.02,Very Low,Green_Region,Weekend,Execute Immediately
Order Processing,High,75,VM_Large,Low,1.99,1.21,High,ap-south,Weekend,Shift to Green Region + Night
Inventory Update,Low,11,VM_Small,Critical,0.35,0.17,Low,us-east,Peak,Green Region Immediate
Shipment Tracking,High,96,VM_Large,High,2.52,0.19,Low,Green_Region,Off-Peak,Execute Immediately
Order Processing,Medium,36,Container_Small,Critical,0.36,0.21,Low,ap-south,Weekend,Green Region Immediate
Quality Control,Critical,300,VM_XLarge,High,5.87,2.69,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Inventory Update,Medium,49,Container_Small,High,0.55,0.26,Low,us-east,Off-Peak,Green Region Immediate
Demand Forecasting,Critical,206,Bare_Metal,Critical,8.14,4.19,Very High,ap-east,Peak,Shift to Green Region + Night
Payment Settlement,Low,23,Container_Micro,Critical,0.2,0.09,Very Low,us-east,Off-Peak,Green Region Immediate
Quality Control,High,61,VM_Large,High,1.6,0.16,Low,Green_Region,Night,Execute Immediately
Supplier Management,High,79,VM_Large,High,2.22,1.02,High,us-east,Off-Peak,Shift to Green Region + Night
Returns Processing,Low,26,Container_Micro,High,0.29,0.13,Very Low,us-east,Peak,Green Region Immediate
Payment Settlement,Low,12,VM_Small,Medium,0.29,0.12,Very Low,ap-east,Off-Peak,Green Region Immediate
Payment Settlement,High,67,VM_Large,Critical,1.7,0.7,Medium,us-east,Night,Schedule Night (Low Load)
Fleet Dispatch,Critical,135,Bare_Metal,High,4.97,1.97,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Returns Processing,High,92,VM_Large,Low,3.05,0.66,Medium,us-west,Peak,Schedule Night (Low Load)
Supplier Management,Medium,34,VM_Medium,Medium,0.66,0.23,Low,eu-central,Night,Schedule Night (Low Load)
Supplier Management,High,69,VM_Large,Critical,1.85,0.55,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Supplier Management,Low,23,Container_Micro,Medium,0.22,0.07,Very Low,us-west,Off-Peak,Green Region Immediate
Returns Processing,Critical,171,VM_XLarge,High,3.86,1.32,High,eu-central,Weekend,Shift to Green Region + Night
Quality Control,High,101,VM_Large,Low,2.65,0.99,High,eu-central,Weekend,Shift to Green Region + Night
Order Processing,High,85,VM_Large,Medium,2.91,1.29,High,us-east,Peak,Shift to Green Region + Night
Returns Processing,Medium,58,Container_Small,Medium,0.63,0.07,Very Low,Green_Region,Weekend,Execute Immediately
Inventory Update,High,74,VM_Large,Critical,1.82,1.04,High,ap-south,Night,Shift to Green Region + Night
Payment Settlement,High,113,VM_Large,Critical,2.96,0.94,High,us-west,Off-Peak,Shift to Green Region + Night
Demand Forecasting,High,78,Container_Large,Critical,0.99,0.55,Medium,ap-south,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,High,92,VM_Large,Medium,3.18,1.48,High,us-east,Peak,Shift to Green Region + Night
Inventory Update,High,83,Container_Large,Medium,1.33,0.28,Low,us-west,Peak,Green Region Immediate
Order Processing,Low,20,Container_Micro,Critical,0.16,0.07,Very Low,ap-east,Night,Green Region Immediate
Returns Processing,Medium,31,VM_Medium,Critical,0.89,0.54,Medium,ap-south,Peak,Schedule Night (Low Load)
Payment Settlement,Medium,50,Container_Small,Medium,0.54,0.19,Low,eu-central,Weekend,Green Region Immediate
Supplier Management,Medium,54,Container_Small,Low,0.56,0.05,Very Low,Green_Region,Night,Execute Immediately
Fleet Dispatch,Medium,46,Container_Small,High,0.62,0.15,Low,us-west,Peak,Green Region Immediate
Supplier Management,Critical,132,Bare_Metal,High,6.01,1.62,Very High,eu-central,Peak,Shift to Green Region + Night
Order Processing,Critical,242,VM_XLarge,High,4.97,2.13,Very High,us-east,Off-Peak,Shift to Green Region + Night
Supplier Management,Medium,31,Container_Small,Critical,0.29,0.2,Low,ap-south,Weekend,Green Region Immediate
Order Processing,High,99,VM_Large,Low,2.59,0.19,Low,Green_Region,Weekend,Execute Immediately
Payment Settlement,Low,10,Container_Micro,Low,0.12,0.07,Very Low,ap-south,Peak,Green Region Immediate
Fleet Dispatch,Critical,161,Bare_Metal,High,7.17,1.64,Very High,us-west,Peak,Shift to Green Region + Night
Order Processing,Critical,135,VM_XLarge,High,3.23,0.38,Low,Green_Region,Weekend,Execute Immediately
Returns Processing,Medium,58,Container_Small,Medium,0.64,0.22,Low,eu-central,Off-Peak,Green Region Immediate
Shipment Tracking,Low,20,VM_Small,Medium,0.43,0.12,Very Low,us-west,Off-Peak,Green Region Immediate
Quality Control,Critical,174,VM_XLarge,Critical,3.57,2.08,Very High,ap-south,Night,Shift to Green Region + Night
Order Processing,Critical,294,VM_XLarge,Low,5.23,2.57,Very High,us-east,Night,Shift to Green Region + Night
Payment Settlement,Low,29,Container_Micro,Low,0.24,0.02,Very Low,Green_Region,Night,Execute Immediately
Returns Processing,High,116,Container_Large,High,1.46,0.44,Medium,eu-central,Weekend,Green Region Immediate
Supplier Management,Low,10,Container_Micro,High,0.08,0.02,Very Low,us-west,Night,Green Region Immediate
Demand Forecasting,Medium,56,Container_Small,High,0.56,0.26,Low,us-east,Night,Green Region Immediate
Returns Processing,Low,26,VM_Small,Low,0.48,0.2,Low,us-east,Night,Green Region Immediate
Inventory Update,High,120,Container_Large,High,1.46,0.4,Medium,eu-central,Weekend,Schedule Night (Low Load)
Quality Control,Medium,48,Container_Small,Medium,0.48,0.15,Low,us-west,Weekend,Green Region Immediate
Payment Settlement,Low,29,Container_Micro,Low,0.25,0.11,Very Low,ap-east,Weekend,Shift to Green Region + Night
Inventory Update,Critical,169,VM_XLarge,High,3.71,1.61,Very High,us-east,Off-Peak,Shift to Green Region + Night
Shipment Tracking,High,93,Container_Large,Medium,1.49,0.71,Medium,ap-east,Peak,Schedule Night (Low Load)
Inventory Update,Critical,144,VM_XLarge,High,3.5,2.27,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Inventory Update,Critical,137,Bare_Metal,Critical,4.17,1.79,Very High,us-east,Night,Shift to Green Region + Night
Quality Control,High,70,Container_Large,Critical,1.13,0.7,Medium,ap-south,Peak,Schedule Night (Low Load)
Quality Control,High,73,Container_Large,Low,0.88,0.34,Low,ap-east,Night,Green Region Immediate
Inventory Update,High,76,VM_Large,Medium,2.04,0.51,Medium,eu-central,Off-Peak,Schedule Night (Low Load)
Quality Control,Critical,300,VM_XLarge,Low,5.77,2.65,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,Low,16,VM_Small,High,0.37,0.17,Low,us-east,Off-Peak,Green Region Immediate
Fleet Dispatch,Low,24,Container_Micro,Medium,0.27,0.12,Very Low,us-east,Peak,Green Region Immediate
Payment Settlement,High,63,Container_Large,Medium,0.8,0.24,Low,eu-central,Off-Peak,Green Region Immediate
Fleet Dispatch,Medium,39,VM_Medium,Critical,0.85,0.17,Low,us-west,Weekend,Green Region Immediate
Payment Settlement,Low,26,VM_Small,Critical,0.44,0.28,Low,ap-south,Night,Green Region Immediate
Inventory Update,Low,27,VM_Small,High,0.52,0.04,Very Low,Green_Region,Weekend,Execute Immediately
Supplier Management,Low,22,VM_Small,Medium,0.44,0.1,Very Low,us-west,Off-Peak,Green Region Immediate
Quality Control,Low,11,Container_Micro,Low,0.09,0.04,Very Low,us-east,Night,Green Region Immediate
Demand Forecasting,Low,20,Container_Micro,High,0.18,0.04,Very Low,us-west,Off-Peak,Green Region Immediate
Order Processing,Critical,176,Bare_Metal,Low,5.72,2.96,Very High,ap-east,Weekend,Shift to Green Region + Night
Demand Forecasting,Medium,55,VM_Medium,Medium,1.25,0.58,Medium,us-east,Weekend,Schedule Night (Low Load)
Quality Control,Medium,58,Container_Small,Medium,0.82,0.34,Low,ap-east,Peak,Green Region Immediate
Supplier Management,Low,25,VM_Small,High,0.46,0.3,Low,ap-south,Night,Green Region Immediate
Supplier Management,High,105,Container_Large,High,1.73,0.7,Medium,ap-east,Peak,Schedule Night (Low Load)
Returns Processing,Low,24,VM_Small,Critical,0.63,0.03,Very Low,Green_Region,Peak,Shift to Green Region + Night
Fleet Dispatch,High,98,VM_Large,Critical,2.33,0.23,Low,Green_Region,Night,Execute Immediately
Returns Processing,Medium,52,VM_Medium,Critical,1.18,0.52,Medium,ap-east,Weekend,Schedule Night (Low Load)
Quality Control,Medium,54,VM_Medium,Medium,1.22,0.38,Low,us-west,Off-Peak,Green Region Immediate
Warehouse Allocation,Low,30,VM_Small,Low,0.75,0.32,Low,us-east,Peak,Green Region Immediate
Order Processing,Critical,160,VM_XLarge,Critical,3.9,2.02,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Order Processing,Low,25,Container_Micro,High,0.23,0.15,Low,ap-south,Off-Peak,Green Region Immediate
Inventory Update,High,71,VM_Large,Critical,1.79,0.19,Low,Green_Region,Night,Execute Immediately
Warehouse Allocation,High,95,Container_Large,Low,1.26,0.58,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Returns Processing,Low,18,Container_Micro,Medium,0.14,0.04,Very Low,eu-central,Night,Green Region Immediate
Supplier Management,Medium,42,Container_Small,High,0.41,0.17,Low,ap-east,Night,Green Region Immediate
Supplier Management,High,108,VM_Large,Critical,2.68,1.21,High,us-east,Night,Shift to Green Region + Night
Fleet Dispatch,Critical,139,Bare_Metal,High,4.74,2.24,Very High,ap-east,Off-Peak,Shift to Green Region + Night
Payment Settlement,Critical,251,VM_XLarge,Medium,5.32,2.38,Very High,us-east,Off-Peak,Shift to Green Region + Night
Fleet Dispatch,Critical,133,VM_XLarge,Critical,3.47,1.63,Very High,us-east,Off-Peak,Shift to Green Region + Night
Order Processing,Medium,60,VM_Medium,High,1.33,0.53,Medium,us-east,Off-Peak,Schedule Night (Low Load)
Quality Control,Critical,165,VM_XLarge,Critical,3.71,1.16,High,us-west,Weekend,Shift to Green Region + Night
Shipment Tracking,Medium,57,VM_Medium,Low,1.23,0.53,Medium,ap-east,Weekend,Schedule Night (Low Load)
Demand Forecasting,Medium,56,Container_Small,Critical,0.56,0.31,Low,ap-south,Night,Green Region Immediate
Fleet Dispatch,Critical,184,VM_XLarge,Medium,5.46,2.35,Very High,us-east,Peak,Shift to Green Region + Night
Warehouse Allocation,High,96,VM_Large,Medium,2.31,0.64,Medium,us-west,Night,Schedule Night (Low Load)
Demand Forecasting,Low,12,Container_Micro,High,0.1,0.06,Very Low,ap-south,Weekend,Green Region Immediate
Returns Processing,Medium,50,Container_Small,Medium,0.55,0.14,Very Low,eu-central,Off-Peak,Green Region Immediate
Warehouse Allocation,Critical,260,Bare_Metal,Low,10.4,5.84,Very High,ap-south,Peak,Shift to Green Region + Night
Inventory Update,Medium,35,Container_Small,High,0.47,0.04,Very Low,Green_Region,Peak,Schedule Night (Low Load)
Payment Settlement,Medium,52,VM_Medium,Critical,1.17,0.29,Low,us-west,Off-Peak,Green Region Immediate
Supplier Management,High,72,Container_Large,Low,1.2,0.33,Low,eu-central,Peak,Green Region Immediate
Supplier Management,Low,15,VM_Small,Critical,0.34,0.21,Low,ap-south,Off-Peak,Green Region Immediate
Supplier Management,High,112,Container_Large,Low,1.37,0.64,Medium,ap-east,Off-Peak,Schedule Night (Low Load)
Returns Processing,Low,24,VM_Small,High,0.41,0.11,Very Low,us-west,Night,Green Region Immediate
Quality Control,High,115,VM_Large,Medium,2.92,0.79,Medium,us-west,Weekend,Schedule Night (Low Load)
Payment Settlement,Low,26,Container_Micro,Medium,0.22,0.02,Very Low,Green_Region,Weekend,Schedule Night (Low Load)
Demand Forecasting,Low,23,Container_Micro,Low,0.2,0.09,Very Low,ap-east,Weekend,Green Region Immediate
Returns Processing,Low,21,Container_Micro,High,0.19,0.08,Very Low,ap-east,Off-Peak,Green Region Immediate
Order Processing,High,99,VM_Large,Low,3.38,1.63,Very High,ap-east,Peak,Execute Immediately
Quality Control,Low,27,VM_Small,Low,0.49,0.14,Very Low,us-west,Night,Green Region Immediate
Fleet Dispatch,High,116,VM_Large,High,3.92,1.89,Very High,us-east,Peak,Shift to Green Region + Night
Quality Control,Medium,54,VM_Medium,High,1.11,0.48,Medium,us-east,Night,Schedule Night (Low Load)
Payment Settlement,Critical,140,Bare_Metal,Low,4.68,1.18,High,eu-central,Weekend,Shift to Green Region + Night
Warehouse Allocation,Low,29,VM_Small,Medium,0.74,0.08,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,Medium,57,Container_Small,Low,0.61,0.37,Low,ap-south,Weekend,Green Region Immediate
Shipment Tracking,Critical,236,Bare_Metal,Low,7.59,5.0,Very High,ap-south,Off-Peak,Shift to Green Region + Night
Quality Control,Medium,53,Container_Small,Critical,0.53,0.16,Low,eu-central,Night,Green Region Immediate
Returns Processing,Critical,154,Bare_Metal,High,6.67,0.51,Medium,Green_Region,Peak,Schedule Night (Low Load)
Shipment Tracking,Medium,33,VM_Medium,Medium,0.89,0.06,Very Low,Green_Region,Peak,Execute Immediately
Fleet Dispatch,Medium,32,VM_Medium,Critical,0.61,0.36,Low,ap-south,Night,Green Region Immediate
Inventory Update,Low,28,VM_Small,Critical,0.7,0.04,Very Low,Green_Region,Peak,Execute Immediately
Shipment Tracking,Critical,215,Bare_Metal,Critical,6.73,2.72,Very High,us-east,Off-Peak,Green Region Immediate
Returns Processing,Low,30,VM_Small,High,0.6,0.23,Low,ap-east,Off-Peak,Green Region Immediate
Fleet Dispatch,Critical,242,Bare_Metal,Medium,7.0,3.49,Very High,us-east,Night,Shift to Green Region + Night
Fleet Dispatch,Critical,268,Bare_Metal,Low,8.1,1.8,Very High,us-west,Off-Peak,Green Region Immediate
Quality Control,Critical,228,Bare_Metal,Low,6.79,0.49,Medium,Green_Region,Weekend,Schedule Night (Low Load)
Quality Control,Medium,42,Container_Small,High,0.45,0.11,Very Low,us-west,Off-Peak,Green Region Immediate
Warehouse Allocation,Low,30,Container_Micro,High,0.24,0.17,Low,ap-south,Weekend,Green Region Immediate
Order Processing,Medium,56,VM_Medium,Critical,1.22,0.29,Low,us-west,Weekend,Green Region Immediate
Payment Settlement,Medium,39,VM_Medium,Low,1.1,0.65,Medium,ap-south,Peak,Schedule Night (Low Load)
Returns Processing,Low,27,VM_Small,High,0.52,0.32,Low,ap-south,Weekend,Green Region Immediate
Fleet Dispatch,Low,14,Container_Micro,Low,0.12,0.03,Very Low,eu-central,Weekend,Green Region Immediate
Supplier Management,Critical,272,Bare_Metal,Medium,7.65,5.32,Very High,ap-south,Weekend,Execute Immediately
Fleet Dispatch,High,94,Container_Large,Low,1.55,0.09,Very Low,Green_Region,Peak,Execute Immediately
Warehouse Allocation,Critical,208,Bare_Metal,High,8.66,4.08,Very High,us-east,Peak,Shift to Green Region + Night
Quality Control,Low,25,Container_Micro,Low,0.23,0.09,Very Low,ap-east,Off-Peak,Green Region Immediate
Shipment Tracking,Medium,33,Container_Small,Medium,0.32,0.12,Very Low,ap-east,Off-Peak,Green Region Immediate
Order Processing,High,108,Container_Large,Medium,1.42,0.42,Medium,us-west,Off-Peak,Schedule Night (Low Load)
Fleet Dispatch,Critical,125,VM_XLarge,Low,2.94,1.33,High,ap-east,Night,Shift to Green Region + Night
Fleet Dispatch,Medium,49,Container_Small,Medium,0.47,0.12,Very Low,eu-central,Night,Green Region Immediate
Payment Settlement,Low,25,Container_Micro,High,0.29,0.15,Low,ap-east,Peak,Green Region Immediate
Quality Control,Low,14,Container_Micro,Medium,0.16,0.09,Very Low,ap-south,Peak,Green Region Immediate
Warehouse Allocation,High,83,Container_Large,High,1.01,0.71,Medium,ap-south,Weekend,Schedule Night (Low Load)
Shipment Tracking,High,82,VM_Large,Critical,2.09,0.43,Medium,us-west,Weekend,Schedule Night (Low Load)
Returns Processing,Low,20,Container_Micro,High,0.15,0.07,Very Low,us-east,Night,Green Region Immediate
Shipment Tracking,Low,11,Container_Micro,Medium,0.08,0.03,Very Low,eu-central,Night,Green Region Immediate
Demand Forecasting,High,117,Container_Large,Low,1.46,0.51,Medium,eu-central,Weekend,Schedule Night (Low Load)
Returns Processing,High,91,Container_Large,Medium,1.04,0.31,Low,us-west,Night,Green Region Immediate
Inventory Update,Medium,40,VM_Medium,High,1.11,0.71,Medium,ap-south,Peak,Schedule Night (Low Load)
Inventory Update,Medium,53,VM_Medium,Low,1.62,0.84,High,ap-east,Peak,Shift to Green Region + Night
Warehouse Allocation,Low,25,Container_Micro,Low,0.22,0.11,Very Low,ap-east,Weekend,Green Region Immediate
Shipment Tracking,High,78,Container_Large,High,1.35,0.77,Medium,ap-south,Peak,Schedule Night (Low Load)
Shipment Tracking,Medium,38,VM_Medium,Low,1.07,0.28,Low,us-west,Peak,Green Region Immediate
Supplier Management,High,93,VM_Large,Critical,2.14,0.18,Low,Green_Region,Night,Green Region Immediate
Shipment Tracking,Critical,139,VM_XLarge,Medium,3.08,1.17,High,ap-east,Weekend,Shift to Green Region + Night
Shipment Tracking,Critical,242,Bare_Metal,Critical,7.73,2.04,Very High,eu-central,Off-Peak,Shift to Green Region + Night
Returns Processing,High,119,Container_Large,Medium,1.49,0.14,Very Low,Green_Region,Off-Peak,Execute Immediately
Shipment Tracking,Medium,47,Container_Small,High,0.64,0.23,Low,eu-central,Peak,Green Region Immediate
Inventory Update,High,64,Container_Large,Medium,1.04,0.33,Low,us-west,Peak,Shift to Green Region + Night
Demand Forecasting,Medium,35,VM_Medium,Critical,1.01,0.69,Medium,ap-south,Peak,Schedule Night (Low Load)
